date;username;tweet;keyword;Normalisasi
28/06/2022 15.48;ieumaki;cel ketawanya jelek bat ;jelek;cel ketawanya jelek banget
28/06/2022 15.48;imasshana; mau req foto ktp pke filter ig deh  muka gue deket banget ama kamera njir jelek banget edan;jelek;mau req foto ktp pakai filter ig deh muka aku deket banget ama kamera njir jelek banget edan
28/06/2022 15.48;junhuicy;nyoba pake kamera analog dan hasilnya jelek  smiling face with tear  ini baru beberapa sih wkwkwk sebel  susah juga yak ;jelek;nyoba pake kamera analog dan hasilnya jelek smiling face with tear ini baru beberapa sih wkwkwk sebel susah juga yak
28/06/2022 15.48;melicoww;  jelek kali emotmu itu nauseated face  yh yank kmu juga tetap mnyrah jngan smngat raised fist medium skin tone ;jelek;jelek kali emotmu itu nauseated face yah sayang kmu juga tetap menyerah jngan smngat raised fist medium skin tone
28/06/2022 15.48;cuddlyhwa;keknya nickname w klo di tambah hala jelek anjir;jelek;keknya nickname aku kalau di tambah hala jelek anjing
28/06/2022 15.48;renjunkw;  kebetulan ara jelek;jelek;kebetulan ara jelek
28/06/2022 15.48;C_eunw0_0;beruntung banget cinta itu buta  seandainya bisa ngeliat  orang jelek mungkin ga laku;jelek;beruntung banget cinta itu buta seandainya bisa ngeliat orang jelek mungkin tidak laku
28/06/2022 15.47;nosyacey; emg udh jelek sih tpi itu jeleknya pake banget bangetnya 100 kali;jelek;emang udah jelek sih tapi itu jeleknya pake banget bangetnya 100 kali
28/06/2022 15.47;madathestar;aku sayang banget sama provider tri meskipun sinyal jelek bgt dan suka trouble hahahahhaha marah  angry face  angry face ;jelek;aku sayang banget sama provider tri meskipun sinyal jelek banget dan suka trouble hahahahhaha marah angry face angry face
28/06/2022 15.47;j23cat;halo pls lewat tl dong hpku kecemplung di wc ini speakernya jelek banget huhuheueheuheu gue harus gimana  t  t  broken heart  broken heart  broken heart ;jelek;halo tolong lewat timeline dong hpku kecemplung di wc ini speakernya jelek banget huhuheueheuheu aku harus gimana t t broken heart broken heart broken heart
28/06/2022 15.47;nihao0o;  masa cewe lo samain sama ikan  lo juga mau aja disamain sm kucing yg gapunya akal  analogi lo jelek ;jelek;masa cewe kamu samain sama ikan kamu juga mau aja disamain sm kucing yang gapunya akal analogi kamu jelek
28/06/2022 15.47;fairiescent;tuhan bersama orang orang yang pasrah tanda tangan ktp nya jelek ;jelek;tuhan bersama orang orang yang pasrah tanda tangan ktp nya jelek
28/06/2022 15.47;piyik_sehun; ahahahah jelek bangett loudly crying face ;jelek;ahahahah jelek bangett loudly crying face
28/06/2022 15.47;colacoIa;iya  bodo amat ah jelek     ;jelek;iya bodo amat ah jelek
28/06/2022 15.47;just__exo; min tolong dicek sinyalnya dong jelek banget ngelag;jelek;min tolong dicek sinyalnya dong jelek banget lama
28/06/2022 15.47;najeonara; dih yg komen ava jelek semua;jelek;dih yang komen ava jelek semua
28/06/2022 15.47;cantiknyataynew; den jelek klo ngambeuk  thumbs down ;jelek;den jelek kalau ngambeuk thumbs down
28/06/2022 15.47;nosyacey; pls itu gue jelek bgt;jelek;tolong itu aku jelek banget
28/06/2022 15.47;hourlylunar;foto ktp w jelek bgt anjrit kaya buronan  ;jelek;foto ktp aku jelek banget anjrit kaya buronan
28/06/2022 15.47;minft;uridu jelek bgt snyalnya  relieved face  relieved face  relieved face  relieved face  relieved face  relieved face  relieved face  relieved face  relieved face  relieved face  relieved face  relieved face  relieved face ;jelek;uridu jelek banget sinyalnya relieved face relieved face relieved face relieved face relieved face relieved face relieved face relieved face relieved face relieved face relieved face relieved face relieved face
28/06/2022 15.46;Iiathekid; tapi tapi kek anjbanget jelek seumur hidup fakk;jelek;tapi tapi seperti anjbanget jelek seumur hidup fakk
28/06/2022 15.46;shibalgirl; udah jelek mana seumur hidup anj dasar;jelek;udah jelek mana seumur hidup anjing dasar
28/06/2022 15.46;ezaraidd;aku juga ada handsfree yang menurutku cukup mahal  dan itupun tidak bertahan lama  bukan karena product nya gagal a  ;jelek;aku juga ada handsfree yang menurutku cukup mahal dan itupun tidak bertahan lama bukan karena product nya gagal a
28/06/2022 15.46;aomanda; mau meme jelek  pleading face  backhand index pointing right  backhand index pointing left ;jelek;mau meme jelek pleading face backhand index pointing right backhand index pointing left
28/06/2022 15.46;Azmimumu010200; udah mah jelek seumur hidup lagi face with tears of joy  face with tears of joy ;jelek;udah mah jelek seumur hidup lagi face with tears of joy face with tears of joy
28/06/2022 15.46;pjchynto;kalo bahasa inggrisku jelek berarti bahasa inggrisku ga bagus ;jelek;kalo bahasa inggrisku jelek berarti bahasa inggrisku tidak bagus
28/06/2022 15.45;powerstranger_; yang good looking  yang jelek mah dianggap botol obat sakit mata ;jelek;yang good looking yang jelek mah dianggap botol obat sakit mata
28/06/2022 15.45;MinGG72;  mungkin dia yg munya maxim takut maxim dpt nama rating jelek  face without mouth  kaya  perusahaan  ;jelek;mungkin dia yang munya maxim takut maxim dpt nama rating jelek face without mouth kaya perusahaan
28/06/2022 15.45;convomfs; thought balloon  tuhan bersama orang orang yang pasrah foto ktp nya jelek;jelek;thought balloon tuhan bersama orang orang yang pasrah foto ktp nya jelek
28/06/2022 15.45;gyaakutarou;yang jelek dari film ini plot twistnya gak kerasa plot twist sama endingnya agak gantung sama maksa;jelek;yang jelek dari film ini plot twistnya tidak kerasa plot twist sama endingnya agak gantung sama maksa
28/06/2022 15.45;weirdfengs;entah siapa yg ngawalin bikit jaket almamater model jelek  harusnya bisa kayak sekolah luar varsity bagus ;jelek;entah siapa yang ngawalin bikit jaket almamater model jelek harusnya bisa kayak sekolah luar varsity bagus
28/06/2022 15.45;discrepanc; lu dari awal ribut soal jelek nan gendut  gamau usaha diet kah  ini sih the real lu yang insecure oran  ;jelek;kamu dari awal ribut soal jelek nan gendut gamau usaha diet kah ini sih the real kamu yang insecure oran
28/06/2022 15.44;aleonxj; dek mas lagi kumat   dek peluk   dek gemes banget sih kamu   pacar siapa ini   dek mas kalo clingy jelek banget ya  ;jelek;dek mas lagi kumat dek peluk dek gemes banget sih kamu pacar siapa ini dek mas kalo clingy jelek banget ya
28/06/2022 15.44;iintrflys;idk basically au yang bawa agama tuh jelek  udh dijelasin sama banyak orang di reply  ;jelek;idk basically au yang bawa agama tuh jelek udah dijelasin sama banyak orang di reply
28/06/2022 15.44;nosyacey; kal gue jelek bgt;jelek;kal aku jelek banget
28/06/2022 15.44;nosyacey; jelek bgt;jelek;jelek banget
28/06/2022 15.43;ditendangmama;malu ah mau ngetwit tulisan gua jelek takut kalian nggak bisa bacanya;jelek;malu ah mau ngetwit tulisan aku jelek takut kalian nggak bisa bacanya
28/06/2022 15.43;woowyo; i m so sorry  tapi aku ga pernah ngomongin hal yg jelek bahkan cursing soal nmx dalam isu ini jadi aku n  ;jelek;i m so sorry tapi aku tidak pernah ngomongin hal yang jelek bahkan cursing soal nmx dalam isu ini jadi aku dan
28/06/2022 15.43;streikizz; lah buset kok kocak  sebagai cust ya wajar nanyain haknya  apalagi osnya gajelas  kalo gamau namanya je  ;jelek;lah buset kok kocak sebagai cust ya wajar nanyain haknya apalagi osnya gajelas kalo gamau namanya aja
28/06/2022 15.43;Haidararrash1;  sejelek jeleknya pembangkang memang lebih jelek dan pendek ;jelek;sejelek jeleknya pembangkang memang lebih jelek dan pendek
28/06/2022 15.43;KETOMBEJUNSEOK;lo pikir aja anak orang diginiin apa ga nangis jelek loudly crying face  double exclamation mark  ;jelek;kamu pikir aja anak orang diginiin apa tidak nangis jelek loudly crying face double exclamation mark
28/06/2022 15.43;ofkaenriah;  lawakan jelek   playable diundur 1 tahun  ;jelek;lawakan jelek playable diundur 1 tahun
28/06/2022 15.43;ss_xhypex; asli jgn deh jelek bgtt pindah posisi;jelek;asli jangan deh jelek bgtt pindah posisi
28/06/2022 15.42;arteacaa; jelek kayak wibu;jelek;jelek kayak wibu
28/06/2022 15.42;reveiIIe; tapi kayak kalo dark mode tampilannya jadi jelek gituu warnanya ga masuk wkwk memilih estetika smiling face with tear ;jelek;tapi kayak kalo dark mode tampilannya jadi jelek gituu warnanya tidak masuk wkwk memilih estetika smiling face with tear
28/06/2022 15.42;indahutar; tp typingnya jelek;jelek;tapi typingnya jelek
28/06/2022 15.42;shinewin15_; hmm betull  mau keluar jg cuacanya jelek malah jadi flu;jelek;hmm betull mau keluar juga cuacanya jelek malah jadi flu
28/06/2022 15.41;ilvtenyuw_;kok jelek bgt anjir ;jelek;kok jelek banget anjing
28/06/2022 15.41;spidermarklee1;9   ini narasi pertama ku maaf kalau jelek  ;jelek;9 ini narasi pertama aku maaf kalau jelek
28/06/2022 15.41;riauliav;he s human too woii tapi gapernah jelek   ;jelek;he s human too woii tapi gapernah jelek
28/06/2022 15.41;penyihirrr;  prny jelek bgt ya wkwk;jelek;pr nya jelek banget ya wkwk
28/06/2022 15.41;nosyacey; rupanya gue jelek bgt anjir;jelek;rupanya aku jelek banget anjing
28/06/2022 15.40;nosyacey; jelek bgt anjay;jelek;jelek banget anjay
28/06/2022 15.40;JVLEHA;banyak cowo jelek dengan argumen jelek dan opini jelek di replies tweet ini ;jelek;banyak cowo jelek dengan argumen jelek dan opini jelek di replies tweet ini
28/06/2022 15.40;jamanjju;huhu sebenernya kasian liat zuber goh v shem drawnya jelek terus loudly crying face  loudly crying face ;jelek;huhu sebenernya kasian liat zuber goh v shem drawnya jelek terus loudly crying face loudly crying face
28/06/2022 15.40;my_wafiqaz; berasa paling pas dn bagus ternyata tetap jelek  loudly crying face ;jelek;berasa paling ketika dan bagus ternyata tetap jelek loudly crying face
28/06/2022 15.40;mahnafiah; iya kan  bener ke rumahku  sinyalnya jelek bgt emang;jelek;iya kan bener ke rumahku sinyalnya jelek banget emang
28/06/2022 15.40;nosyacey; emg jelek dei awal sih  tp itu jelek bgt;jelek;emang jelek dei awal sih tapi itu jelek banget
28/06/2022 15.40;moniqqaro;masih geleng  nangis jelek gw  ini last scene udh di spill duluan loudly crying face  loudly crying face  loudly crying face  ;jelek;masih geleng nangis jelek aku ini last scene udah di spill duluan loudly crying face loudly crying face loudly crying face
28/06/2022 15.39;nosyacey; jelek bgt ituu;jelek;jelek banget ituu
28/06/2022 15.39;cigarettexEth_; ketawa nya jelek;jelek;ketawa nya jelek
28/06/2022 15.39;fizzletwt;  aku jelek banget;jelek;aku jelek banget
28/06/2022 15.39;iannzip; haha hehe jelek;jelek;haha hehe jelek
28/06/2022 15.39;ALDRLDXVR; agakny akun lo jelek ar makany kena limit;jelek;agakny akun kamu jelek ar makany kena limit
28/06/2022 15.39;hyvlaaa;jaringan di rumah yg ini knp jelek bngt dah weary face  sneezing face  ;jelek;jaringan di rumah yang ini kenapa jelek banget dah weary face sneezing face
28/06/2022 15.38;penyukaamekdi;  tapi org miskin kultural juga banyak loh  ;jelek;tapi orang miskin kultural juga banyak loh
28/06/2022 15.38;lilliansky__; bangsat jelek banget;jelek;bangsat jelek banget
28/06/2022 15.38;asahieomma;  jelek kek demit;jelek;jelek seperti demit
28/06/2022 15.38;blubeili; samaa tp tulisanku jelek disappointed face ;jelek;samaa tapi tulisanku jelek disappointed face
28/06/2022 15.38;thinkaboutle;bhahahha jelek banget ava lu  loudly crying face  loudly crying face  loudly crying face  loudly crying face  ;jelek;bhahahha jelek banget ava kamu loudly crying face loudly crying face loudly crying face loudly crying face
28/06/2022 15.38;JJAYmafia; iya kak soalnya wifinya jelek;jelek;iya kak soalnya wifinya jelek
28/06/2022 15.37;uncleminho;skill 3d design gue masih jelek bgt hiks gue juga cuma assist senior vm doang  yang bikin 3d designnya bukan w loudly crying face  loudly crying face   g  ;jelek;skill 3d design aku masih jelek banget hiks aku juga cuma assist senior vm doang yang bikin 3d designnya bukan aku loudly crying face loudly crying face tidak
28/06/2022 15.37;pelernasaurus; cakep krna filter aja bangga   iri ya udh pake filter ttep jelek;jelek;cakep krna filter aja bangga iri ya udah pake filter ttep jelek
28/06/2022 15.37;g_omuno;  apps jelek masih kitabmainin;jelek;apps jelek masih kita mainin
28/06/2022 15.37;KooWifee;jelek banget tl skrng mending vote deh daripada ngurusin orang lain asli ga guna  soalnya orang yang lo semua omong  ;jelek;jelek banget timeline skrng mending vote deh daripada ngurusin orang lain asli tidak guna soalnya orang yang kamu semua omong
28/06/2022 15.37;psychokomi; hahaha iyasih  belum lagi kao substatnya bagus  dan karena cuma 3 substat jadi ga khawatir naik ke substat yg jelek;jelek;hahaha iyasih belum lagi kao substatnya bagus dan karena cuma 3 substat jadi tidak khawatir naik ke substat yang jelek
28/06/2022 15.37;syeikhfreid;tadi mimpi jelek kali;jelek;tadi mimpi jelek kali
28/06/2022 15.37;kxohaku;tp kok jelek y;jelek;tapi kok jelek iya
28/06/2022 15.37;BangAdit48;cewe cantik dan cewe jelek itu ternyata sama2 bikin pusing ;jelek;cewe cantik dan cewe jelek itu ternyata sama2 bikin pusing
28/06/2022 15.37;firettdidit;jelek banget pr nya ;jelek;jelek banget pr nya
28/06/2022 15.37;Maheee_cuk; bales  yg mau bucinan sama elo siapa jelek;jelek;bales yang mau bucinan sama elo siapa jelek
28/06/2022 15.37;fahtirxx; mungkin ini alasan mengapa timnas gamau main di kalimantan  akses jelek  tempat latihan jelek  stad  ;jelek;mungkin ini alasan mengapa timnas gamau main di kalimantan akses jelek tempat latihan jelek stad
28/06/2022 15.37;ChoipanZeNosuke;karena aku tahu background story nya  ai ga percaya yang dia omongin di story  berkali kali teman business nya men  ;jelek;karena aku tahu background story nya ai tidak percaya yang dia omongin di story berkali kali teman business nya men
