date,username,tweet,keyword,Normalisasi,TOKENIZATION,STOP_REMOVAL,STEMMED
2022-06-28 08:48:50+00:00,ieumaki,cel ketawanya jelek bat ,jelek,cel ketawanya jelek banget,"['cel', 'ketawanya', 'jelek', 'banget']","['ketawanya', 'jelek', 'banget']",ketawa jelek banget
2022-06-28 08:48:41+00:00,imasshana, mau req foto ktp pke filter ig deh  muka gue deket banget ama kamera njir jelek banget edan,jelek,mau request foto ktp pakai filter ig deh muka aku deket banget sama kamera njir jelek banget edan,"['mau', 'request', 'foto', 'ktp', 'pakai', 'filter', 'ig', 'deh', 'muka', 'aku', 'deket', 'banget', 'sama', 'kamera', 'njir', 'jelek', 'banget', 'edan']","['request', 'foto', 'ktp', 'pakai', 'filter', 'ig', 'muka', 'deket', 'banget', 'kamera', 'jelek', 'banget']",request foto ktp pakai filter ig muka deket banget kamera jelek banget
2022-06-28 08:48:35+00:00,junhuicy,nyoba pake kamera analog dan hasilnya jelek   ini baru beberapa sih wkwkwk sebel  susah juga yak ,jelek,nyoba pake kamera analog dan hasilnya jelek ini baru beberapa sih wkwkwk sebel susah juga yak,"['nyoba', 'pake', 'kamera', 'analog', 'dan', 'hasilnya', 'jelek', 'ini', 'baru', 'beberapa', 'sih', 'wkwkwk', 'sebel', 'susah', 'juga', 'yak']","['nyoba', 'pake', 'kamera', 'analog', 'hasilnya', 'jelek', 'wkwkwk', 'sebel', 'susah']",nyoba pake kamera analog hasil jelek wkwkwk sebel susah
2022-06-28 08:48:33+00:00,melicoww,  jelek kali emotmu itu  yh yank kmu juga tetap mnyrah jngan smngat  ,jelek,jelek kali emotmu itu yah sayang kamu juga tetap menyerah jangan semangat,"['jelek', 'kali', 'emotmu', 'itu', 'yah', 'sayang', 'kamu', 'juga', 'tetap', 'menyerah', 'jangan', 'semangat']","['jelek', 'kali', 'emotmu', 'sayang', 'menyerah', 'semangat']",jelek kali emotmu sayang serah semangat
2022-06-28 08:48:31+00:00,cuddlyhwa,keknya nickname w klo di tambah hala jelek anjir,jelek,sepertinya nickname aku kalau di tambah hala jelek anjing,"['sepertinya', 'nickname', 'aku', 'kalau', 'di', 'tambah', 'hala', 'jelek', 'anjing']","['nickname', 'jelek', 'anjing']",nickname jelek anjing
2022-06-28 08:48:18+00:00,renjunkw,  kebetulan ara jelek,jelek,kebetulan ara jelek,"['kebetulan', 'ara', 'jelek']",['jelek'],jelek
2022-06-28 08:48:05+00:00,C_eunw0_0,beruntung banget cinta itu buta  seandainya bisa ngeliat  orang jelek mungkin ga laku,jelek,beruntung banget cinta itu buta seandainya bisa ngeliat orang jelek mungkin tidak laku,"['beruntung', 'banget', 'cinta', 'itu', 'buta', 'seandainya', 'bisa', 'ngeliat', 'orang', 'jelek', 'mungkin', 'tidak', 'laku']","['beruntung', 'banget', 'cinta', 'buta', 'seandainya', 'ngeliat', 'orang', 'jelek', 'laku']",untung banget cinta buta anda ngeliat orang jelek laku
2022-06-28 08:47:59+00:00,nosyacey, emg udh jelek sih tpi itu jeleknya pake banget bangetnya     kali,jelek,emang udah jelek sih tapi itu jeleknya pake banget bangetnya kali,"['emang', 'udah', 'jelek', 'sih', 'tapi', 'itu', 'jeleknya', 'pake', 'banget', 'bangetnya', 'kali']","['emang', 'udah', 'jelek', 'jeleknya', 'pake', 'banget', 'bangetnya', 'kali']",emang udah jelek jelek pake banget banget kali
2022-06-28 08:47:56+00:00,madathestar,aku sayang banget sama provider tri meskipun sinyal jelek bgt dan suka trouble hahahahhaha marah   ,jelek,aku sayang banget sama provider tri meskipun sinyal jelek banget dan suka trouble hahahahhaha marah,"['aku', 'sayang', 'banget', 'sama', 'provider', 'tri', 'meskipun', 'sinyal', 'jelek', 'banget', 'dan', 'suka', 'trouble', 'hahahahhaha', 'marah']","['sayang', 'banget', 'provider', 'tri', 'sinyal', 'jelek', 'banget', 'suka', 'trouble', 'marah']",sayang banget provider tri sinyal jelek banget suka trouble marah
2022-06-28 08:47:52+00:00,j23cat,halo pls lewat tl dong hpku kecemplung di wc ini speakernya jelek banget huhuheueheuheu gue harus gimana  t  t   ,jelek,halo tolong lewat timeline dong hpku kecemplung di wc ini speakernya jelek banget huhuheueheuheu aku harus gimana itu itu,"['halo', 'tolong', 'lewat', 'timeline', 'dong', 'hpku', 'kecemplung', 'di', 'wc', 'ini', 'speakernya', 'jelek', 'banget', 'huhuheueheuheu', 'aku', 'harus', 'gimana', 'itu', 'itu']","['halo', 'tolong', 'timeline', 'hpku', 'kecemplung', 'wc', 'speakernya', 'jelek', 'banget', 'gimana']",halo tolong timeline hpku cemplung wc speakernya jelek banget gimana
