date,username,tweet,keyword
2022-06-28 08:48:50+00:00,ieumaki,cel ketawanya jelek bat https://t.co/csHISa3WwB,jelek
2022-06-28 08:48:41+00:00,imasshana,"@convomfs mau req foto ktp pke filter ig deh, muka gue deket banget ama kamera njir jelek banget edan",jelek
2022-06-28 08:48:35+00:00,junhuicy,"Nyoba pake kamera analog dan hasilnya jelek 🥲 ini baru beberapa sih wkwkwk sebel, susah juga yak https://t.co/BS1TYIWsRO",jelek
2022-06-28 08:48:33+00:00,melicoww,@cutiebunny04 @convomf jelek kali emotmu itu🤢 yh yank kmu juga tetap mnyrah jngan smngat✊🏽,jelek
2022-06-28 08:48:31+00:00,cuddlyhwa,keknya nickname w klo di tambah hala jelek anjir,jelek
2022-06-28 08:48:18+00:00,renjunkw,@RnjntrA @huanarenjun Kebetulan ara jelek,jelek
2022-06-28 08:48:05+00:00,C_eunw0_0,beruntung banget cinta itu buta. seandainya bisa ngeliat? orang jelek mungkin ga laku,jelek
2022-06-28 08:47:59+00:00,nosyacey,@chioollo emg udh jelek sih tpi itu jeleknya pake banget bangetnya 100 kali,jelek
2022-06-28 08:47:56+00:00,madathestar,aku sayang banget sama provider tri meskipun sinyal jelek bgt dan suka trouble HAHAHAHHAHA MARAH 😠😠,jelek
2022-06-28 08:47:52+00:00,j23cat,HALO PLS LEWAT TL DONG HPKU KECEMPLUNG DI WC INI SPEAKERNYA JELEK BANGET HUHUHEUEHEUHEU GUE HARUS GIMANA..... T______T 💔💔💔,jelek
2022-06-28 08:47:50+00:00,nihao0o,"@ahmdbstnl @cleofave @fckmytightpssy masa cewe lo samain sama ikan, lo juga mau aja disamain sm kucing yg gapunya akal. analogi lo jelek.",jelek
2022-06-28 08:47:44+00:00,fairiescent,Tuhan bersama orang orang yang pasrah tanda tangan KTP nya jelek https://t.co/dkDiqn0Cvw,jelek
2022-06-28 08:47:43+00:00,piyik_sehun,@yenzzz_U Ahahahah jelek bangettt😭,jelek
2022-06-28 08:47:40+00:00,colacoIa,"Iya, bodo amat ah jelek. :( https://t.co/vtKnElvHmK",jelek
2022-06-28 08:47:34+00:00,just__exo,@IndiHomeCare min tolong dicek sinyalnya dong jelek banget ngelag,jelek
2022-06-28 08:47:33+00:00,najeonara,@lemonaeid Dih yg komen ava jelek semua,jelek
2022-06-28 08:47:17+00:00,cantiknyataynew,@atpmixxiw den jelek klo ngambeuk 👎,jelek
2022-06-28 08:47:13+00:00,nosyacey,@chioollo pls itu gue jelek bgt,jelek
2022-06-28 08:47:06+00:00,hourlylunar,foto ktp w jelek bgt anjrit kaya buronan. https://t.co/BGySLS1N4B,jelek
2022-06-28 08:47:00+00:00,minft,uridu jelek bgt snyalnya 😌😌😌😌😌😌😌😌😌😌😌😌😌,jelek
2022-06-28 08:46:58+00:00,Iiathekid,@convomfs TAPI TAPI KEK ANJRT BANGET JELEK SEUMUR HIDUP FAKKKKKKKKKKK,jelek
2022-06-28 08:46:45+00:00,shibalgirl,@convomfs Udah jelek mana seumur hidup anj dasar,jelek
2022-06-28 08:46:34+00:00,ezaraidd,"Aku juga ada handsfree yang menurutku cukup mahal. Dan itupun tidak bertahan lama, bukan karena product nya gagal a… https://t.co/elA23NCgH1",jelek
2022-06-28 08:46:30+00:00,aomanda,@ssefnum mau meme jelek 🥺👉👈,jelek
2022-06-28 08:46:22+00:00,Azmimumu010200,@convomfs Udah mah jelek seumur hidup lagi😂😂,jelek
2022-06-28 08:46:01+00:00,pjchynto,Kalo bahasa inggrisku jelek berarti bahasa inggrisku ga bagus https://t.co/Z14wJIWIRk,jelek
2022-06-28 08:45:38+00:00,powerstranger_,"@silumancacing yang good looking, yang jelek mah dianggap botol obat sakit mata.",jelek
