date,username,tweet,keyword,Normalisasi
2022-06-28 08:48:50+00:00,ieumaki,cel ketawanya jelek bat ,jelek,cel ketawanya jelek banget
2022-06-28 08:48:41+00:00,imasshana, mau req foto ktp pke filter ig deh  muka gue deket banget ama kamera njir jelek banget edan,jelek,mau request foto ktp pakai filter ig deh muka aku deket banget sama kamera njir jelek banget edan
2022-06-28 08:48:35+00:00,junhuicy,nyoba pake kamera analog dan hasilnya jelek  smiling face with tear  ini baru beberapa sih wkwkwk sebel  susah juga yak ,jelek,nyoba pake kamera analog dan hasilnya jelek smiling face with tear ini baru beberapa sih wkwkwk sebel susah juga yak
2022-06-28 08:48:33+00:00,melicoww,  jelek kali emotmu itu nauseated face  yh yank kmu juga tetap mnyrah jngan smngat raised fist medium skin tone ,jelek,jelek kali emotmu itu nauseated face yah sayang kamu juga tetap menyerah jangan smngat raised fist medium skin tone
2022-06-28 08:48:31+00:00,cuddlyhwa,keknya nickname w klo di tambah hala jelek anjir,jelek,sepertinya nickname aku kalau di tambah hala jelek anjing
2022-06-28 08:48:18+00:00,renjunkw,  kebetulan ara jelek,jelek,kebetulan ara jelek
2022-06-28 08:48:05+00:00,C_eunw0_0,beruntung banget cinta itu buta  seandainya bisa ngeliat  orang jelek mungkin ga laku,jelek,beruntung banget cinta itu buta seandainya bisa ngeliat orang jelek mungkin tidak laku
2022-06-28 08:47:59+00:00,nosyacey, emg udh jelek sih tpi itu jeleknya pake banget bangetnya 100 kali,jelek,emang udah jelek sih tapi itu jeleknya pake banget bangetnya 100 kali
2022-06-28 08:47:56+00:00,madathestar,aku sayang banget sama provider tri meskipun sinyal jelek bgt dan suka trouble hahahahhaha marah  angry face  angry face ,jelek,aku sayang banget sama provider tri meskipun sinyal jelek banget dan suka trouble hahahahhaha marah angry face angry face
2022-06-28 08:47:52+00:00,j23cat,halo pls lewat tl dong hpku kecemplung di wc ini speakernya jelek banget huhuheueheuheu gue harus gimana  t  t  broken heart  broken heart  broken heart ,jelek,halo tolong lewat timeline dong hpku kecemplung di wc ini speakernya jelek banget huhuheueheuheu aku harus gimana itu itu broken heart broken heart broken heart
2022-06-28 08:47:50+00:00,nihao0o,  masa cewe lo samain sama ikan  lo juga mau aja disamain sm kucing yg gapunya akal  analogi lo jelek ,jelek,masa cewe kamu samain sama ikan kamu juga mau aja disamain sm kucing yang gapunya akal analogi kamu jelek
2022-06-28 08:47:44+00:00,fairiescent,tuhan bersama orang orang yang pasrah tanda tangan ktp nya jelek ,jelek,tuhan bersama orang orang yang pasrah tanda tangan ktp nya jelek
2022-06-28 08:47:43+00:00,piyik_sehun, ahahahah jelek bangett loudly crying face ,jelek,ahahahah jelek bangett loudly crying face
2022-06-28 08:47:40+00:00,colacoIa,iya  bodo amat ah jelek     ,jelek,iya bodo amat ah jelek
2022-06-28 08:47:34+00:00,just__exo, min tolong dicek sinyalnya dong jelek banget ngelag,jelek,min tolong dicek sinyalnya dong jelek banget lama
2022-06-28 08:47:33+00:00,najeonara, dih yg komen ava jelek semua,jelek,dih yang komen ava jelek semua
