sentiment,STEMMED,label_encoder
-1,ketawa jelek banget,negatif
1,request foto ktp pakai filter ig muka deket banget kamera njir jelek banget,netral
1,nyoba pake kamera analog hasil jelek sebel susah yak,netral
-1,nickname jelek anjing,negatif
1,jelek,netral
-1,emang udah jelek jelek pake banget banget kali,negatif
1,sayang banget provider tri sinyal jelek banget suka trouble marah,netral
1,halo tolong timeline hpku cemplung wc speakernya jelek banget gimana,netral
1,cewe samain ikan aja disamain sam kucing gapunya akal analogi jelek,netral
-1,jelek bangett,negatif
-1,iya bodo jelek,negatif
1,tolong cek sinyal jelek banget,netral
-1,komen ava jelek,negatif
1,jelek ngambek,netral
-1,tolong jelek banget,negatif
1,uridu jelek banget sinyal,netral
-1,anjing banget jelek umur hidup,negatif
-1,udah jelek umur hidup anjing dasar,negatif
-1,handsfree turut mahal itu tahan product nya gagal a,negatif
1,meme jelek,netral
-1,udah jelek umur hidup,negatif
-1,mu maxim takut maxim dpt nama rating jelek kaya usaha,negatif
1,tuhan orang orang pasrah foto ktp nya jelek,netral
-1,jelek film plot twistnya rasa plot twist endingnya gantung maksa,negatif
1,ribut jelek nan gendut gamau usaha diet kah the real insecure oran,netral
1,idk basically bawa agama jelek udah dijelasin orang reply,netral
-1,jelek banget,negatif
-1,jelek banget,negatif
1,malu ngetwit tulis jelek takut baca,netral
1,im so sorry ngomongin jelek cursing nmx isu,netral
-1,jelek jelek bangkang jelek pendek,negatif
-1,pikir aja anak orang diginiin nang jelek,negatif
-1,lawa jelek playable undur,negatif
-1,jelek kayak wibu,negatif
1,kayak kalo dark mode tampil jelek gituu warna masuk pilih estetika,netral
1,typingnya jelek,netral
1,hmm betull cuaca jelek flu,netral
-1,jelek banget anjing,negatif
-1,narasi maaf jelek,negatif
1,hes human too woii gapernah jelek,netral
1,prny jelek banget,netral
-1,jelek banget anjing,negatif
-1,jelek banget anjay,negatif
-1,cowo jelek argumen jelek opini jelek replies tweet,negatif
1,huhu sebenernya kasi liat zuber goh v shem drawnya jelek,netral
-1,iya bener rumah sinyal jelek banget emang,negatif
-1,emang jelek dei jelek banget,negatif
1,geleng nang jelek last scene udah spill duluan,netral
-1,jelek banget ituu,negatif
-1,ketawa nya jelek,negatif
-1,jelek banget,negatif
-1,  jelek,negatif
1,agakny akun jelek ar kena limit,netral
1,jaring rumah jelek banget,netral
-1,orang miskin kultural,negatif
-1,bangsat jelek banget,negatif
-1,jelek demit,negatif
1,samaa tulis jelek,netral
-1,jelek banget ava,negatif
1,iya kak wifinya jelek,netral
-1,apps jelek kitabmainin,negatif
1, iyasih kao substatnya bagus substat khawatir substat jelek,netral
-1,mimpi jelek kali,negatif
-1,jelek iya,negatif
-1,cewe cantik cewe jelek bikin pusing,negatif
1,jelek banget pr nya,netral
-1,bales bucinan jelek,negatif
1,alas timnas gamau main kalimantan akses jelek latih jelek stad,netral
1,bener gausah malu nganggur taun gara kelas nilai jelek,netral
1,item putih jelek banget foto copyan,netral
-1,jelek banget iya,negatif
-1,nang jelek roxana kambek,negatif
1,igku post story video hp full layar gepeng anjing jelek banget tolong,netral
1,senggol haji kritik nyinyir tim,netral
1,serius gadaa niat jelek like nyindir or something ngapa orang singgung baper leogirl,netral
1,salah pilih warna anjing jelek banget,netral
-1,jelek,negatif
-1,allah kak jelek,negatif
-1,gila baca replynya mash seks otak manusia a little bit shock muka kaya badak udah jelek,negatif
-1,kenal anjing typo jelek,negatif
